dataset,cover_model,detector,attempted_bits_per_transition_mean,attempted_bits_per_transition_std,n_seeds,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,eer_mean,eer_std,eer_min,eer_max
mooc,backoff,mlp,0.034319999999999996,0.0007918333157931658,5,0.502484401,0.0004576039841309374,0.501844835,0.50299897,0.50121,0.00025592967784140866,0.5009,0.5016,0.49866,0.0003731621631408803,0.49820000000000003,0.49915
mooc,gru,forest,0.86104,0.01383773825449812,5,0.9873991990000001,0.002374166364261967,0.9836974999999999,0.9898073700000002,0.92365,0.007477549732365532,0.91225,0.9317,0.07644,0.00742734811355978,0.06839999999999999,0.08775
mooc,gru,linear,0.86104,0.01383773825449812,5,0.9854914029999999,0.003615384809921059,0.981772215,0.989509885,0.9222999999999999,0.00900777441991081,0.90795,0.93165,0.07769999999999999,0.008986587227640975,0.06835000000000002,0.092
mooc,gru,mlp,0.86104,0.01383773825449812,5,0.987057372,0.002580847209921091,0.9830498,0.989676885,0.92332,0.007788180146863605,0.9114,0.9316500000000001,0.07665,0.007792223687754359,0.06834999999999997,0.08855
mooc,temporal_graph_encoder,forest,0.0,0.0,5,0.5,5.551115123125783e-17,0.4999999999999999,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
mooc,temporal_graph_encoder,linear,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
mooc,temporal_graph_encoder,mlp,0.0,0.0,5,0.499999399,8.435964675096202e-07,0.49999847000000003,0.50000003,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
mooc,transformer,forest,0.55426,0.2866309002881581,5,0.8642999150000001,0.18243094097580423,0.53828764,0.9598534150000001,0.7733,0.1424209210404146,0.51965,0.8596,0.22671000000000002,0.14241334821567816,0.14045000000000002,0.48035000000000005
mooc,transformer,linear,0.55426,0.2866309002881581,5,0.8624065349999999,0.1842334217361726,0.5330865499999999,0.956957105,0.77254,0.1433218903377987,0.51725,0.8591,0.22746,0.1433569818669464,0.14075000000000004,0.4828
mooc,transformer,mlp,0.55426,0.2866309002881581,5,0.8633190129999999,0.18383095088791482,0.53479989,0.95952121,0.7728599999999999,0.14285164244768067,0.51845,0.8594999999999999,0.22725,0.1429621453392471,0.14044999999999996,0.48185
t_drive_cells,backoff,forest,0.24706,0.0009633275663033874,5,0.5365185370000001,0.0007367226900401308,0.535489215,0.537534895,0.52031,0.00042924352062669827,0.5197,0.52085,0.47969,0.00042924352062668277,0.47914999999999996,0.48029999999999995
t_drive_cells,backoff,linear,0.24706,0.0009633275663033874,5,0.5281256649999999,0.0002628141679019883,0.52782543,0.5284322300000001,0.51765,0.00024238399287084128,0.5174,0.518,0.48295999999999994,0.00017102631376485187,0.48275,0.4831
